[2013-03-16 09:26:46] START
[2013-03-16 09:26:46] EDIT welcome/controllers/default.py: 2
[2013-10-15 22:33:50] CREATE table.py: 0
[2013-10-15 22:34:19] EDIT HW1/models/table.py: 8
[2013-10-15 22:34:27] EDIT HW1/models/table.py: 0
[2013-10-15 22:34:32] EDIT HW1/models/table.py: 0
[2013-10-15 22:34:56] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:02] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:05] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:21] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:23] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:29] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:49] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:51] EDIT HW1/models/table.py: 0
[2013-10-15 22:42:55] EDIT HW1/models/table.py: 0
[2013-10-15 22:44:16] EDIT HW1/models/table.py: 0
[2013-10-15 22:45:30] EDIT HW1/controllers/default.py: 12
[2013-10-15 22:45:35] EDIT HW1/controllers/default.py: 0
[2013-10-15 22:45:38] EDIT HW1/controllers/default.py: 0
[2013-10-15 22:45:47] EDIT HW1/controllers/default.py: 0
[2013-10-15 22:45:52] EDIT HW1/controllers/default.py: 0
[2013-10-15 22:46:02] EDIT HW1/controllers/default.py: -1
[2013-10-15 22:57:47] EDIT HW1/views/default/index.html: -26
[2013-10-15 23:01:54] EDIT HW1/controllers/default.py: -1
[2013-10-15 23:02:09] EDIT HW1/controllers/default.py: -6
[2013-10-15 23:02:17] EDIT HW1/controllers/default.py: 0
[2013-10-15 23:02:26] EDIT HW1/controllers/default.py: 0
[2013-10-15 23:02:34] EDIT HW1/controllers/default.py: 0
[2013-10-15 23:02:50] EDIT HW1/controllers/default.py: 0
[2013-10-15 23:03:55] EDIT HW1/models/table.py: 0
[2013-10-15 23:04:18] EDIT HW1/models/table.py: 0
[2013-10-15 23:04:26] EDIT HW1/models/table.py: 0
[2013-10-15 23:04:51] EDIT HW1/models/table.py: 0
[2013-10-15 23:04:57] EDIT HW1/models/table.py: 0
[2013-10-15 23:05:27] EDIT HW1/models/table.py: 1
[2013-10-15 23:05:47] EDIT HW1/models/table.py: 0
[2013-10-15 23:05:52] EDIT HW1/models/table.py: 0
[2013-10-15 23:06:21] EDIT HW1/models/table.py: 0
[2013-10-15 23:06:43] EDIT HW1/models/table.py: 0
[2013-10-15 23:08:26] EDIT HW1/models/table.py: 0
[2013-10-15 23:12:01] EDIT HW1/controllers/default.py: 0
[2013-10-15 23:12:43] EDIT HW1/models/table.py: 0
[2013-10-15 23:13:01] EDIT HW1/models/table.py: 0
[2013-10-15 23:15:51] EDIT HW1/models/table.py: 1
[2013-10-15 23:16:18] EDIT HW1/models/table.py: 0
[2013-10-15 23:16:22] EDIT HW1/models/table.py: -1
[2013-10-15 23:17:55] EDIT HW1/views/default/index.html: 0
[2013-10-15 23:20:15] EDIT HW1/models/table.py: 0
[2013-10-15 23:21:21] EDIT HW1/models/table.py: 0
[2013-10-15 23:22:57] EDIT HW1/models/table.py: 0
[2013-10-16 00:21:00] EDIT HW1/models/table.py: -1
[2013-10-16 00:22:46] CREATE second.html: 0
[2013-10-16 00:23:18] EDIT HW1/views/second.html: 1
[2013-10-16 00:25:50] EDIT HW1/views/second.html: 0
